,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
2044,0,83556,1,2,4,2019,0,1,25,8,24.4,1498,98.63,215.0,5.0,11,4,4,0,3954.0,1737.0,1570.0,2490.0,5,3,0,1,1,5,1
2045,3,31513,1,1,17,2022,2,3,25,9,20.09,1199,86.63,115.0,5.0,5,3,4,0,3827.0,1742.0,1615.0,2445.0,5,1,0,1,1,5,1
2047,0,40531,1,1,17,2020,2,3,25,8,19.01,1199,84.82,113.0,5.0,12,3,4,0,3765.0,1677.0,1535.0,2400.0,5,1,0,1,1,5,1
2049,3,17663,0,1,11,2020,2,3,25,9,18.76,1462,103.26,138.0,5.0,10,4,4,0,3995.0,1790.0,1640.0,2500.0,4,1,0,1,1,5,1
2050,0,77706,1,3,7,2013,2,3,25,9,18.9,1197,82.0,114.0,5.0,6,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
2058,3,72020,1,1,11,2018,2,1,25,9,23.65,1248,88.5,200.0,5.0,1,4,4,1,4300.0,1785.0,1595.0,2600.0,5,3,0,0,1,5,1
2064,3,27425,1,2,17,2019,0,3,25,9,17.0,1198,108.5,170.0,5.0,10,3,4,1,3994.0,1811.0,1607.0,2498.0,6,3,0,1,1,5,1
2065,0,13126,0,1,11,2021,3,3,25,9,26.0,998,65.71,89.0,5.0,10,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,1
2067,0,24500,0,2,11,2020,0,3,25,9,21.4,1197,83.1,115.0,5.0,11,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,1
2069,1,27216,1,1,15,2021,3,3,25,9,20.0,999,71.01,96.0,7.0,12,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,1
2070,0,12060,1,1,17,2021,0,3,25,9,19.01,1199,84.82,113.0,5.0,1,3,4,0,3765.0,1677.0,1535.0,2400.0,5,1,0,1,1,5,1
2071,4,150000,1,1,11,2009,2,1,25,9,19.3,1248,73.9,190.0,5.0,8,4,4,1,4160.0,1690.0,1530.0,2390.0,5,3,0,1,1,4,1
2072,0,46931,1,2,7,2012,0,3,25,8,21.1,814,55.2,74.5,5.0,10,3,3,0,3495.0,1550.0,1500.0,2380.0,5,3,0,1,1,5,1
2073,0,60000,1,1,19,2014,0,3,25,9,16.47,1198,73.9,110.0,5.0,4,3,4,0,3970.0,1682.0,1453.0,2456.0,5,3,0,1,1,5,1
2075,4,80000,1,2,17,2009,2,3,25,8,14.4,1396,65.0,100.0,5.0,8,4,2,0,3988.0,1620.0,1540.0,2450.0,5,3,0,1,1,4,1
2076,4,44000,1,1,6,2014,0,1,25,9,25.8,1498,98.6,200.0,5.0,11,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,1
2077,4,4786,0,1,6,2020,2,3,25,9,18.3,1199,88.76,110.0,5.0,12,4,4,0,3995.0,1695.0,1501.0,2470.0,0,1,0,1,1,4,1
2078,0,39024,1,1,7,2018,0,3,25,9,18.6,1197,81.83,114.7,5.0,4,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2081,3,114386,1,1,7,2018,2,3,25,9,15.8,1591,121.3,151.0,5.0,12,4,4,0,4270.0,1780.0,1665.0,2590.0,6,3,0,1,1,5,1
2082,1,27369,1,1,15,2022,2,3,25,9,20.0,999,71.01,96.0,7.0,8,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,1
2084,0,16561,1,2,7,2019,0,3,25,9,18.9,1197,81.86,113.75,5.0,1,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
2085,0,23328,1,1,15,2021,0,3,25,9,21.74,999,67.0,91.0,5.0,1,3,4,0,3731.0,1579.0,1490.0,2422.0,5,1,0,1,1,5,1
2086,0,16473,1,1,11,2020,0,3,25,9,21.7,998,65.71,89.0,5.0,10,3,4,0,3565.0,1520.0,1567.0,2380.0,5,3,0,1,1,5,1
2087,0,46375,1,2,6,2017,2,3,25,9,18.5,1198,86.8,109.0,5.0,11,4,4,0,3610.0,1680.0,1500.0,2345.0,5,3,0,1,1,5,1
2089,0,91799,0,1,11,2017,0,3,25,9,21.4,1197,83.1,115.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,1
2090,0,38919,1,3,7,2016,0,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2092,4,3989,0,1,6,2020,2,3,25,9,18.3,1199,88.76,110.0,5.0,2,4,4,0,3995.0,1695.0,1501.0,2470.0,0,1,0,1,1,4,1
2093,4,91773,1,1,6,2015,0,1,25,9,24.7,1498,98.63,200.0,5.0,4,4,4,1,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
2094,0,60000,1,2,11,2019,2,3,25,8,22.05,796,47.33,69.0,5.0,8,3,4,0,3445.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,1
2095,4,28906,1,1,6,2018,0,3,25,9,18.6,1199,88.76,110.0,5.0,11,4,4,0,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
2096,0,150000,1,1,11,2016,2,1,25,9,27.62,793,47.0,125.0,5.0,1,2,4,0,3600.0,1600.0,1560.0,2425.0,5,3,0,1,1,5,1
2099,0,43428,1,1,11,2014,2,3,25,8,22.74,796,47.3,69.0,5.0,4,3,4,0,3395.0,1490.0,1475.0,2360.0,5,3,0,1,1,5,1
2100,0,67000,1,1,0,2013,0,1,25,8,25.44,936,57.6,150.0,5.0,12,3,4,0,3640.0,1595.0,1520.0,2375.0,5,3,0,1,1,5,1
2101,0,70528,0,1,11,2017,0,3,25,9,21.4,1197,83.1,115.0,5.0,7,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,1
